dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
commons-dbcp:commons-dbcp,org.apache.poi:poi-ooxml,16,124,145,0.13,0.11,0.13
commons-dbcp:commons-dbcp,org.hamcrest:hamcrest-all,18,124,237,0.15,0.08,0.15
org.aspectj:aspectjweaver,org.junit.vintage:junit-vintage-engine,7,170,119,0.04,0.06,0.06
org.apache.zookeeper:zookeeper,org.aspectj:aspectjweaver,35,193,170,0.18,0.21,0.21
org.apache.curator:curator-framework,org.codehaus.jackson:jackson-mapper-asl,18,121,154,0.15,0.12,0.15
ch.qos.logback:logback-classic,org.codehaus.jackson:jackson-mapper-asl,37,703,154,0.05,0.24,0.24
ch.qos.logback:logback-classic,org.springframework:spring-orm,54,703,126,0.08,0.43,0.43
commons-configuration:commons-configuration,javax.servlet:servlet-api,29,149,266,0.19,0.11,0.19
org.hamcrest:hamcrest-all,org.junit.vintage:junit-vintage-engine,13,237,119,0.05,0.11,0.11
javax.servlet:jstl,org.apache.commons:commons-csv,7,124,130,0.06,0.05,0.06
com.jcraft:jsch,org.assertj:assertj-core,19,103,454,0.18,0.04,0.18
com.fasterxml.jackson.core:jackson-databind,org.mockito:mockito-all,128,841,368,0.15,0.35,0.35
org.apache.maven.plugin-tools:maven-plugin-annotations,org.mongodb:mongo-java-driver,14,229,119,0.06,0.12,0.12
javax.validation:validation-api,org.springframework:spring-webmvc,50,197,264,0.25,0.19,0.25
org.codehaus.plexus:plexus-utils,org.mongodb:mongo-java-driver,10,144,119,0.07,0.08,0.08
javax.inject:javax.inject,org.assertj:assertj-core,49,186,454,0.26,0.11,0.26
org.slf4j:slf4j-log4j12,org.springframework.boot:spring-boot-starter-test,23,521,128,0.04,0.18,0.18
org.hamcrest:hamcrest-core,org.springframework:spring-context,47,216,435,0.22,0.11,0.22
commons-beanutils:commons-beanutils,org.hibernate.validator:hibernate-validator,26,282,102,0.09,0.25,0.25
commons-beanutils:commons-beanutils,org.testng:testng,49,282,288,0.17,0.17,0.17
com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-mapper-asl,60,532,154,0.11,0.39,0.39
com.sun.xml.bind:jaxb-impl,org.springframework:spring-aop,34,160,180,0.21,0.19,0.21
com.google.inject:guice,io.springfox:springfox-swagger2,4,192,143,0.02,0.03,0.03
org.springframework:spring-jdbc,org.yaml:snakeyaml,34,219,268,0.16,0.13,0.16
com.googlecode.json-simple:json-simple,io.springfox:springfox-swagger2,5,154,143,0.03,0.03,0.03
com.googlecode.json-simple:json-simple,org.glassfish.jaxb:jaxb-runtime,10,154,145,0.06,0.07,0.07
org.apache.kafka:kafka-clients,org.ow2.asm:asm,20,162,180,0.12,0.11,0.12
jakarta.xml.bind:jakarta.xml.bind-api,org.apache.velocity:velocity,5,114,124,0.04,0.04,0.04
org.junit.jupiter:junit-jupiter-engine,org.projectlombok:lombok,57,334,434,0.17,0.13,0.17
mysql:mysql-connector-java,org.apache.commons:commons-math3,41,537,180,0.08,0.23,0.23
com.google.code.gson:gson,org.hibernate:hibernate-validator,46,666,148,0.07,0.31,0.31
io.dropwizard.metrics:metrics-core,org.openjdk.jmh:jmh-generator-annprocess,30,156,201,0.19,0.15,0.19
org.apache.maven:maven-plugin-api,org.springframework.boot:spring-boot-starter-test,8,264,128,0.03,0.06,0.06
org.apache.maven:maven-core,org.openjdk.jmh:jmh-generator-annprocess,19,193,201,0.1,0.09,0.1
org.bouncycastle:bcprov-jdk15on,org.slf4j:jcl-over-slf4j,43,196,311,0.22,0.14,0.22
com.google.protobuf:protobuf-java,org.freemarker:freemarker,22,268,153,0.08,0.14,0.14
